Protein_ID,Compound_ID,Label
Q92506,SUB-8456,1
Q9PT41,SUB-4551,1
Q12737,SUB-4604,0
I3RYX9,SUB-2095,0
O94788,SUB-8713,1
B3Y018,SUB-9230,1
Q70Y21,SUB-2340,1
P77846,SUB-8100,0
A1R2C3,SUB-6852,0
A0A144KZJ7,SUB-5210,0
P16232,SUB-7061,1
P19938,SUB-4726,0
P0A111,SUB-2712,0
D2WKD9,SUB-8291,0
C7DLJ6,SUB-356,0
Q2UL94,SUB-2380,0
P00778,SUB-6432,0
Q7LYI9,SUB-2158,0
P00466,SUB-3004,0
Q5SLC4,SUB-8172,1
Q8KZP9,SUB-4688,1
P49356,SUB-3045,0
D7PN09,SUB-4325,1
Q5AWX6,SUB-9840,1
O69054,SUB-8,0
Q8VCH6,SUB-1213,0
P08311,SUB-5038,1
Q9FEW9,SUB-5966,1
Q9NRN7,SUB-6046,0
E9P162,SUB-1048,0
C0L3S4,SUB-3908,1
P12265,SUB-7631,1
P33247,SUB-7580,0
B2J1M1,SUB-10271,0
Q43199,SUB-6598,0
O87082,SUB-4365,0
Q8RNY0,SUB-10277,1
P05982,SUB-9296,0
Q9I492,SUB-9938,0
P19835,SUB-7499,1
G1EFQ3,SUB-9803,1
Q7Z4W1,SUB-6515,1
Q9SU79,SUB-2537,1
P28039,SUB-9696,0
O33853,SUB-1509,0
P80067,SUB-585,1
P04841,SUB-2184,1
P42588,SUB-3349,1
Q8VPT7,SUB-3726,0
I3V5V5,SUB-5350,1
G0RVK1,SUB-10055,0
H9LBH7,SUB-8036,0
P00371,SUB-10139,1
Q04631,SUB-7883,1
P37527,SUB-4835,1
Q74HL7,SUB-3367,0
Q6DLR9,SUB-7664,0
Q9HTZ1,SUB-6173,0
P0A3G2,SUB-9614,0
P75728,SUB-10078,1
Q5V676,SUB-7710,0
Q86PM2,SUB-2008,0
Q67XZ3,SUB-9745,1
D3JAJ5,SUB-4040,1
P31373,SUB-7539,0
Q15738,SUB-2691,1
H9N289,SUB-6884,0
P54965,SUB-5392,1
Q50EK3,SUB-5519,0
C9JRZ8,SUB-7982,0
Q2RNG5,SUB-6118,0
Q13126,SUB-2638,1
C9JRZ8,SUB-6383,1
G1JSL4,SUB-3407,0
Q56185,SUB-7791,0
P14384,SUB-5880,1
P06276,SUB-660,0
A7LI67,SUB-6601,1
P00784,SUB-694,1
Q969S8,SUB-1043,0
Q15493,SUB-3270,1
P31013,SUB-9083,0
P77072,SUB-7721,0
Q9FXT4,SUB-749,1
G4WJC8,SUB-4849,1
Q5JI09,SUB-8279,1
Q0MVP2,SUB-1299,1
B1IVD5,SUB-8616,0
G1EMI7,SUB-8692,1
Q9FLP9,SUB-4899,1
P15555,SUB-4378,1
O75828,SUB-5398,0
A0A1I9LHM9,SUB-205,0
Q9ZVJ5,SUB-1361,1
Q46547,SUB-6674,1
Q6N8N2,SUB-8398,1
P17054,SUB-5842,1
Q4WY82,SUB-3147,0
Q9NWM0,SUB-6716,0
Q9FG67,SUB-4622,0
P46413,SUB-6896,0
Q6Q8Q7,SUB-4130,1
Q9HA79,SUB-4142,1
O58762,SUB-5599,0
Q93FD4,SUB-4293,1
P54965,SUB-9202,1
P0A884,SUB-4308,1
P76491,SUB-8918,0
P04841,SUB-9219,1
Q00972,SUB-5522,1
Q9FEW9,SUB-1063,1
Q8NJP6,SUB-3912,0
Q4H2B4,SUB-5084,1
Q0V8R6,SUB-9209,1
P00791,SUB-527,1
P52705,SUB-3612,0
Q5JI09,SUB-4974,0
B1IVD5,SUB-4193,1
O08557,SUB-677,1
O87943,SUB-3187,1
P06276,SUB-2770,1
Q8KZT4,SUB-7811,1
P37967,SUB-8788,0
P11884,SUB-6141,0
Q5FSJ2,SUB-971,0
D4YFM2,SUB-7966,0
M9VUE0,SUB-703,0
Q96IY4,SUB-1822,0
P9WIE5,SUB-8228,1
P00591,SUB-8629,1
P32947,SUB-7499,1
D2RIQ3,SUB-2056,0
Q9R1T5,SUB-1831,1
B9W4V6,SUB-4199,0
O75828,SUB-7562,1
Q0KBC8,SUB-9150,0
Q9HA79,SUB-2681,1
P80025,SUB-6349,1
Q97UK5,SUB-4440,0
P11310,SUB-5658,0
H3JQW0,SUB-3249,1
C4R4L0,SUB-3009,1
O93655,SUB-1638,0
C9JRZ8,SUB-45,1
Q9KAN9,SUB-5803,1
P18548,SUB-6375,0
A1BBA0,SUB-4761,1
Q9F4C1,SUB-8244,0
P07154,SUB-3295,1
Q04631,SUB-3523,0
P04335,SUB-1089,0
O06652,SUB-2216,1
Q9S9N9,SUB-4377,1
P21219,SUB-5961,1
Q9BTY2,SUB-4715,0
C9JRZ8,SUB-7155,0
P08515,SUB-3198,1
P15877,SUB-8263,0
Q9HA79,SUB-8583,0
O34142,SUB-68,0
Q8NBN7,SUB-8504,0
P17516,SUB-5199,1
Q8KTU8,SUB-6408,1
P96741,SUB-1093,1
P06875,SUB-5213,1
G4WJC8,SUB-1858,1
P35610,SUB-2371,1
P00634,SUB-1212,1
P20960,SUB-5462,0
P0A6L4,SUB-7741,0
P13154,SUB-4543,0
Q0VH87,SUB-5447,0
P29082,SUB-9933,1
P11152,SUB-9080,0
Q9YGB8,SUB-6406,1
Q6VVP7,SUB-6961,0
P07862,SUB-3439,1
O96142,SUB-7202,0
Q97U21,SUB-10109,1
P05364,SUB-5791,0
Q9HWS0,SUB-8591,0
P9WPP0,SUB-10289,1
Q9UBR2,SUB-1446,0
Q9BT40,SUB-4057,0
P0A110,SUB-3670,0
P08001,SUB-21,1
P97872,SUB-933,1
Q940L0,SUB-2300,1
A0A075B5H4,SUB-2551,1
P26439,SUB-8492,1
Q9D099,SUB-10308,1
Q9S3U5,SUB-8298,1
Q02567,SUB-8344,1
C7FF05,SUB-4332,1
Q02971,SUB-9871,0
B2RKK0,SUB-9905,1
Q8IEK1,SUB-6615,0
D7UER1,SUB-9111,1
Q9BYV7,SUB-4630,0
Q2UL94,SUB-7262,0
Q75W17,SUB-2355,0
G1EMI7,SUB-9811,0
F8S123,SUB-5640,0
F6BL85,SUB-7342,1
Q2U7D3,SUB-8667,0
P08473,SUB-4516,0
P0A110,SUB-2859,0
Q25252,SUB-5191,1
E7FHW8,SUB-7581,1
Q93TJ5,SUB-8775,0
Q6QWR1,SUB-1035,0
P04079,SUB-9683,0
Q8WNV7,SUB-5665,0
Q7RXM0,SUB-9456,0
P39849,SUB-165,0
Q7RXM0,SUB-6003,1
Q9Y9I6,SUB-1077,1
Q6DLR9,SUB-5785,0
Q93Y47,SUB-6292,1
M1SQA1,SUB-6326,0
Q9Z2D1,SUB-3583,0
Q58933,SUB-5560,0
P30084,SUB-2315,0
Q04631,SUB-4131,1
P06875,SUB-1109,0
O65355,SUB-1762,0
Q04631,SUB-6157,0
F2R038,SUB-5731,1
Q7G9P4,SUB-7175,0
B1IVD5,SUB-2016,0
B8K1W1,SUB-8005,1
P08319,SUB-4639,0
Q9HA79,SUB-5035,1
P39633,SUB-760,1
Q5GCA8,SUB-4659,1
P39888,SUB-7873,0
G0RVK1,SUB-6127,0
Q9JKC1,SUB-23,1
P00634,SUB-4774,0
Q9N119,SUB-5495,0
Q72LL6,SUB-10194,0
Q9LHN8,SUB-8199,1
P9WNU7,SUB-7332,0
A9QXE0,SUB-1902,1
Q4K423,SUB-5066,0
F5H5G0,SUB-8381,1
Q8RDE9,SUB-6041,1
Q9NVH6,SUB-1805,0
P59337,SUB-10021,0
P31013,SUB-2717,1
Q0PIV8,SUB-1686,0
Q8GR22,SUB-2273,1
Q8NBN7,SUB-4628,0
P0A7D4,SUB-2910,0
Q9TT94,SUB-5602,0
P08683,SUB-2693,0
Q9HA79,SUB-2137,1
P0A111,SUB-7556,0
Q9SJM7,SUB-6764,0
O96142,SUB-4931,0
P08659,SUB-1382,0
P28845,SUB-9471,1
P13001,SUB-525,1
O59485,SUB-10310,1
Q840T2,SUB-7542,1
Q04631,SUB-4540,0
Q8IEK1,SUB-4232,0
P05982,SUB-9581,1
Q9Y6N5,SUB-10024,1
Q96PD6,SUB-8387,1
Q43199,SUB-420,1
O65355,SUB-10191,0
Q8ZUN8,SUB-165,1
Q9HWS0,SUB-7380,1
A9QXE0,SUB-8469,1
P80679,SUB-4083,1
Q9WWW6,SUB-958,1
P92916,SUB-6779,1
P35354,SUB-774,0
Q50H63,SUB-7438,1
Q9X265,SUB-4923,1
G0RVK1,SUB-9659,1
P07205,SUB-1517,0
Q15440,SUB-833,0
A2QZI3,SUB-6406,1
Q6GMR7,SUB-4050,0
P15559,SUB-1263,0
E7FHW8,SUB-177,1
C5I9X1,SUB-9983,1
G1E6S8,SUB-8379,0
P22680,SUB-4434,0
Q93YB2,SUB-8345,1
Q5BQE6,SUB-8361,0
P06875,SUB-3702,1
F5H5G0,SUB-3640,0
E3T1X3,SUB-5072,1
P77846,SUB-2368,0
O95865,SUB-1188,0
P00492,SUB-9581,0
B3Y018,SUB-4487,0
P07981,SUB-7978,1
P52705,SUB-7066,0
P39462,SUB-2687,0
O69054,SUB-689,0
Q05514,SUB-818,0
P00748,SUB-2145,0
Q9WY30,SUB-7550,1
O60760,SUB-3140,1
Q47KB1,SUB-3866,0
Q97U30,SUB-8408,0
Q9N119,SUB-2046,1
Q8VIJ7,SUB-955,0
Q8TCT0,SUB-593,1
Q9D099,SUB-10051,1
O50641,SUB-6710,0
C6A190,SUB-3078,0
P08319,SUB-580,1
P13129,SUB-5973,0
Q8K4B7,SUB-5335,1
P11310,SUB-7098,0
Q7Z8L1,SUB-770,1
Q9XUS5,SUB-4788,1
W0NUN5,SUB-3165,1
Q97UK5,SUB-1713,1
D0ITF8,SUB-9206,1
Q99040,SUB-5508,1
E7D7J5,SUB-3938,0
Q8CDA1,SUB-9467,0
P18417,SUB-6692,0
Q9TRC7,SUB-10140,1
Q15493,SUB-9400,0
P33317,SUB-1960,1
P28838,SUB-8727,0
Q2VEQ7,SUB-1265,0
P43772,SUB-1651,0
Q9QXN5,SUB-3157,0
Q4WYG3,SUB-10217,0
Q8WNV7,SUB-9218,1
Q9UK23,SUB-6125,0
E9P8D2,SUB-7662,0
P12547,SUB-1664,1
Q64428,SUB-9803,1
A0QQJ4,SUB-996,0
S5FPI8,SUB-8299,1
P08683,SUB-1223,0
P06276,SUB-8079,0
P00634,SUB-7385,1
Q1NEI6,SUB-2433,1
Q9UBV7,SUB-6931,0
O70628,SUB-5806,0
B2M0R3,SUB-2777,0
Q9ZNN8,SUB-7275,0
Q9SMI2,SUB-5923,0
Q8KZP9,SUB-2855,1
B5A496,SUB-3305,0
P16233,SUB-7917,0
Q6QHF9,SUB-24,1
Q5M886,SUB-5772,0
Q8VPD4,SUB-1257,1
Q5SLC4,SUB-7987,0
O75462,SUB-9148,1
P22303,SUB-1855,0
P9WIJ3,SUB-2753,0
A8WBX8,SUB-1672,0
D3ZU86,SUB-2014,1
A5JTM5,SUB-6568,0
Q9SMI2,SUB-7956,1
I3RYX9,SUB-5628,1
P93149,SUB-10136,0
P0A6I0,SUB-4788,1
P42535,SUB-4102,1
Q13822,SUB-5172,1
P25774,SUB-6689,0
C7NVN0,SUB-6373,0
Q9TRC7,SUB-3487,1
Q58820,SUB-6505,0
A6YS05,SUB-8252,0
Q02068,SUB-747,1
Q05047,SUB-10316,1
Q50EK3,SUB-4608,0
Q9X024,SUB-5522,1
P0ABF6,SUB-7546,0
P63228,SUB-7342,0
I3RYX9,SUB-6345,1
Q5JRX3,SUB-1740,0
P51650,SUB-9831,0
Q8WNV7,SUB-1766,0
O28558,SUB-566,0
Q7X2D3,SUB-7257,0
E3W9M3,SUB-1884,1
P51857,SUB-4004,0
P15555,SUB-8999,1
P21219,SUB-5436,0
P06802,SUB-8428,0
Q6XZ78,SUB-4788,1
D3KVM3,SUB-5534,0
Q9JHR7,SUB-8477,0
Q8A8X4,SUB-5989,1
Q8NIN6,SUB-7080,1
P80679,SUB-6032,0
P80679,SUB-7634,0
P19971,SUB-132,0
P13569,SUB-7114,0
P48418,SUB-3085,1
Q9F131,SUB-8599,0
P51635,SUB-419,0
P09870,SUB-2488,0
P54965,SUB-7767,0
P10901,SUB-816,0
P00634,SUB-1026,1
Q8L3C9,SUB-6257,0
O24641,SUB-5958,0
P19835,SUB-8776,0
P04963,SUB-8342,1
O08355,SUB-9313,0
Q93YB2,SUB-10200,1
A0A3Q1MJ30,SUB-5397,0
P13001,SUB-262,0
P07872,SUB-7292,1
C7FF05,SUB-5073,1
A0A2H4RAB6,SUB-6406,1
P00492,SUB-9659,0
Q833X5,SUB-666,1
P0ABR9,SUB-3517,0
Q8PZ67,SUB-9678,0
P00634,SUB-1323,0
P50162,SUB-7311,0
P0A955,SUB-169,0
Q0ZUL0,SUB-686,1
Q60136,SUB-9741,0
P77072,SUB-8929,0
P07099,SUB-8406,0
Q5SLC4,SUB-5524,0
P31013,SUB-9774,0
Q8IZ52,SUB-4099,0
P11546,SUB-5424,1
P0A111,SUB-8693,0
Q8GRC5,SUB-2496,0
B3TNN8,SUB-5210,0
Q9HH07,SUB-8293,0
Q5E985,SUB-3595,0
K9LL63,SUB-660,1
P07788,SUB-1347,0
P06617,SUB-3655,1
P04177,SUB-1840,0
E8MGH8,SUB-8310,1
Q8MWS0,SUB-8953,1
P13569,SUB-4788,1
A0A060PQX5,SUB-3894,1
Q8WNV7,SUB-4607,1
Q5FT75,SUB-7275,0
P22643,SUB-3114,0
P40051,SUB-3158,0
C7FF05,SUB-2012,0
E1XUJ2,SUB-2541,1
Q04631,SUB-2381,0
P80679,SUB-1925,0
P00791,SUB-8597,0
P49012,SUB-491,0
P35219,SUB-9569,0
P05364,SUB-2390,1
A0A0J9X243,SUB-7481,1
Q9JLJ3,SUB-2680,0
P21588,SUB-9995,0
F9UM18,SUB-1706,0
G1SEP0,SUB-5313,1
Q9JPB5,SUB-9956,0
H9N289,SUB-7860,0
P77072,SUB-5440,0
P78329,SUB-4094,0
P19515,SUB-9619,1
Q2KNL6,SUB-9254,0
P55264,SUB-6197,1
E7FI44,SUB-3988,0
P06276,SUB-3425,0
O87612,SUB-3595,0
P11544,SUB-462,0
B9W4V6,SUB-4855,0
P0A9I8,SUB-7399,1
Q9U1E1,SUB-9350,1
H9B8T5,SUB-6945,1
P0A6U8,SUB-1682,1
G1JSL4,SUB-3658,0
Q7M4T0,SUB-7626,0
Q9SMI2,SUB-5881,1
B6CAM1,SUB-7899,0
A6G7B1,SUB-10099,0
Q02068,SUB-6499,1
P22367,SUB-1640,1
P27707,SUB-6076,1
Q2Z1W3,SUB-9520,1
Q8GPG4,SUB-7231,1
P37967,SUB-3752,0
A8QCW4,SUB-1910,0
P28845,SUB-3378,1
Q4JC35,SUB-8073,0
A0A075B5H4,SUB-2480,1
Q4W2K4,SUB-496,0
P39462,SUB-5442,0
O34746,SUB-9275,0
F9UM18,SUB-5683,0
Q8WRD8,SUB-734,0
Q56185,SUB-9244,1
Q5W9R9,SUB-6300,1
P73242,SUB-2943,0
P08473,SUB-4620,0
Q9HXE3,SUB-5070,0
Q8K4B7,SUB-3217,1
A0ZXZ4,SUB-9426,1
P07824,SUB-5900,1
Q402C7,SUB-6746,0
Q5FTU6,SUB-10259,0
Q9BTY2,SUB-6512,0
Q02318,SUB-6101,1
F9FU71,SUB-8794,0
Q8P9A5,SUB-4690,0
A4QUT2,SUB-2902,0
P10619,SUB-10026,1
Q9ANX4,SUB-7959,0
P32169,SUB-4914,0
A0A133P8W5,SUB-5831,0
Q831B2,SUB-7190,1
P00438,SUB-7449,1
P04825,SUB-9089,0
P06875,SUB-1249,0
P0DPE9,SUB-10010,1
Q56185,SUB-8469,0
P39714,SUB-1640,0
C0JP83,SUB-7261,1
Q3MV21,SUB-1684,0
P34960,SUB-6178,1
A9QXE0,SUB-9486,0
B5MFC9,SUB-8904,1
Q9RA61,SUB-3520,0
P00784,SUB-4148,1
P15169,SUB-7601,1
B2RKK0,SUB-717,1
Q9HA79,SUB-8615,1
A1TX06,SUB-9206,1
P79208,SUB-6361,0
Q8ESQ6,SUB-1751,1
Q8R3P0,SUB-6942,0
Q84Q58,SUB-1034,0
Q65CJ7,SUB-10252,0
E6UBR9,SUB-6686,0
Q588Z1,SUB-7901,0
P0A6K3,SUB-4757,1
P21643,SUB-2656,0
A6ZSR0,SUB-2354,1
I3RYX9,SUB-4333,0
P37528,SUB-6399,0
P15559,SUB-4506,1
P53184,SUB-2085,0
B2RKK0,SUB-6178,1
Q9VUF8,SUB-7406,0
P0ACC7,SUB-5012,0
Q7V6D4,SUB-1661,1
I6YFP0,SUB-7062,0
P04694,SUB-8845,1
P31552,SUB-4399,0
P40859,SUB-47,1
D7UER1,SUB-9307,0
Q9CAB7,SUB-4937,1
P00784,SUB-6546,1
A8TUC0,SUB-8161,1
Q6N8N2,SUB-8373,1
Q47KB1,SUB-2383,0
Q8WNV7,SUB-1138,1
Q8VPT7,SUB-263,0
C7ZKN4,SUB-10286,0
Q5BM20,SUB-3095,0
I0CKV2,SUB-10148,1
Q8VWZ8,SUB-4127,0
Q04552,SUB-920,1
P54944,SUB-2957,0
Q93Y47,SUB-5646,0
Q13126,SUB-4777,0
Q5JI09,SUB-9009,0
Q8GR61,SUB-1906,1
Q5FSN8,SUB-3328,1
P0A111,SUB-1371,0
P42535,SUB-2606,1
P9WNG3,SUB-7073,1
Q2VEQ7,SUB-10315,0
G7H7Y1,SUB-4310,0
A3KEZ1,SUB-725,0
Q9TRC7,SUB-1738,1
P80679,SUB-6168,0
P15289,SUB-8890,1
Q6WNR0,SUB-10206,1
P80067,SUB-5275,0
Q75P26,SUB-5524,1
Q8WRD8,SUB-4480,0
P07524,SUB-7847,0
P0A6L0,SUB-1275,1
P11509,SUB-1677,1
P37528,SUB-656,1
Q8RNY0,SUB-6153,0
Q9XZT6,SUB-10204,1
P52705,SUB-1530,0
P31513,SUB-343,1
P42330,SUB-7153,0
Q7X2D3,SUB-3528,1
P92979,SUB-5405,1
A0A144KZJ7,SUB-9352,1
Q9HA79,SUB-10166,0
P97562,SUB-7489,0
C7FF05,SUB-1477,1
P40859,SUB-735,1
P00791,SUB-10013,0
W8VSK8,SUB-1443,1
Q8VPT7,SUB-657,0
Q9ZVL6,SUB-10076,0
Q8WNV7,SUB-8234,0
A3MUY9,SUB-6061,1
Q9I6J9,SUB-4100,0
Q70Y21,SUB-612,0
O06901,SUB-6402,0
O60427,SUB-5387,1
Q7X9A9,SUB-1024,0
Q6TXD2,SUB-6238,1
P16435,SUB-8708,1
Q67ZE1,SUB-4367,1
P15169,SUB-814,0
G3XEX5,SUB-3288,0
Q93ZB2,SUB-6741,0
P54965,SUB-10047,1
Q8WNV7,SUB-10349,1
O08914,SUB-3209,0
P0A434,SUB-6205,1
P37330,SUB-3043,1
Q02567,SUB-6987,0
P24474,SUB-9081,0
P00327,SUB-329,0
Q0ZUL0,SUB-5355,1
Q9EQ20,SUB-934,0
P49366,SUB-4903,0
Q4AEG8,SUB-3319,1
Q7S3U4,SUB-5510,0
O73949,SUB-4844,0
Q72EC8,SUB-3413,0
Q7LWG2,SUB-4052,0
Q9GN60,SUB-7264,1
A3DJ38,SUB-6041,1
Q9HA79,SUB-1754,0
P38071,SUB-3399,1
Q8VPD4,SUB-4075,1
O45307,SUB-6730,0
P08319,SUB-10291,0
Q7M4T0,SUB-6979,1
P80679,SUB-8793,0
Q9HFV6,SUB-2376,1
P29475,SUB-9778,0
Q84HQ2,SUB-8371,1
Q9AT27,SUB-3053,0
Q5BM20,SUB-4442,1
D2STN9,SUB-2774,0
O52582,SUB-8744,0
P08337,SUB-9354,0
B2RLK2,SUB-5855,1
P28845,SUB-4989,0
P27707,SUB-6666,0
P21219,SUB-9816,0
F0HXE4,SUB-7224,0
P11884,SUB-5143,1
P39831,SUB-2392,0
B2J1M1,SUB-5632,0
B5A496,SUB-8003,1
Q58806,SUB-9892,1
O06652,SUB-1032,1
A8IRK4,SUB-5623,0
O62653,SUB-8524,0
P00183,SUB-3951,1
P52895,SUB-3964,0
P24158,SUB-6310,0
Q50EL0,SUB-4806,0
O34807,SUB-8657,0
P12547,SUB-525,1
G1T465,SUB-1646,1
Q63880,SUB-6829,0
Q9SMI2,SUB-2719,0
P06875,SUB-6720,1
O08355,SUB-184,1
Q86W56,SUB-2135,0
Q02068,SUB-7490,1
P11884,SUB-9775,1
P28838,SUB-4576,0
Q9BY64,SUB-2983,1
Q8K4B7,SUB-2376,0
Q9EQS4,SUB-5851,0
P29717,SUB-7064,1
P28845,SUB-9291,0
Q5A4X3,SUB-1088,1
Q8NF37,SUB-5432,1
G8H1L8,SUB-4239,1
P50163,SUB-7698,0
P39482,SUB-3964,1
Q8WRD8,SUB-8296,1
B2J1M1,SUB-7933,1
V5YT97,SUB-525,1
A0A2I6U1R0,SUB-7669,0
Q60136,SUB-3694,0
P00327,SUB-9015,1
P80340,SUB-2919,0
Q12178,SUB-2990,1
P15309,SUB-6467,0
A5LGH2,SUB-2068,1
P31013,SUB-5890,0
Q8WRD8,SUB-7985,0
C9K2Z6,SUB-5462,1
P51015,SUB-1491,0
F1CMX3,SUB-5704,1
Q5E985,SUB-5261,0
P22869,SUB-6741,0
Q8RLY5,SUB-333,1
P06276,SUB-650,1
Q13KT2,SUB-8657,1
Q12178,SUB-1748,0
A0A173DQZ5,SUB-7057,0
Q9CRC0,SUB-8301,1
Q5L2C2,SUB-1801,1
O70199,SUB-2532,0
Q92851,SUB-505,0
Q6F936,SUB-7005,0
Q93TJ5,SUB-8467,1
H3JQW0,SUB-8760,0
Q92058,SUB-8135,1
A0A075B5H4,SUB-8010,0
Q0K2K2,SUB-7862,0
Q1PS23,SUB-10045,0
Q5AWX6,SUB-7486,0
P42330,SUB-2665,0
Q00740,SUB-8205,0
O15121,SUB-4837,1
P46959,SUB-5557,0
P9WJJ3,SUB-9265,0
Q5NU42,SUB-10140,0
P0ABF6,SUB-6106,1
Q31QF3,SUB-5964,0
H8WR05,SUB-386,0
D2B1P1,SUB-8547,1
P55212,SUB-3982,1
P06875,SUB-5173,1
A0A0K1P4J7,SUB-8764,0
P40817,SUB-6507,1
Q2QB49,SUB-4655,0
P06276,SUB-3925,1
P0A7D4,SUB-6197,1
A0A1B2U6R8,SUB-5106,1
Q8RBF4,SUB-8767,1
Q12737,SUB-4436,1
Q9BY64,SUB-1738,0
Q0QLF2,SUB-6133,1
P0A111,SUB-6057,1
P04070,SUB-740,0
Q9FLP9,SUB-9961,1
Q8L3C7,SUB-266,0
Q08291,SUB-3958,0
P19623,SUB-4818,1
Q02497,SUB-4284,0
A0A075BZ18,SUB-251,1
A9QXE0,SUB-6551,0
P35610,SUB-3576,1
Q02068,SUB-4796,0
O60760,SUB-4099,1
Q6ZJ97,SUB-8225,1
Q42546,SUB-4686,1
P0AB87,SUB-5728,0
Q9SM43,SUB-2297,0
Q13093,SUB-5854,1
Q6UG02,SUB-4624,0
P15428,SUB-8846,1
P22057,SUB-6686,1
P00183,SUB-5375,0
A7RDN6,SUB-2542,0
P04180,SUB-6740,1
P9WMK9,SUB-1950,0
M5C6U3,SUB-1796,1
P08337,SUB-9585,1
A0A024A3Z2,SUB-8983,1
Q9HBQ7,SUB-4847,1
F4Y9I5,SUB-5778,0
P42938,SUB-2937,0
Q9WWW6,SUB-4267,1
O75936,SUB-7596,0
C7FF05,SUB-3639,1
A0A031HCH9,SUB-9598,1
Q25252,SUB-6575,0
Q79ZT3,SUB-9759,0
P15877,SUB-5288,0
P00507,SUB-5961,0
B3Y018,SUB-3811,0
P0A6F3,SUB-2945,0
Q26998,SUB-5892,0
Q9LCB4,SUB-8974,0
Q84HQ2,SUB-3146,1
P68175,SUB-822,0
A0A1L1YPD7,SUB-7083,1
P16386,SUB-2778,0
Q7ZA32,SUB-3164,1
P00784,SUB-5930,0
O24319,SUB-716,0
M4N626,SUB-200,0
A0A1W6VPA7,SUB-6879,1
Q2KIR7,SUB-4982,1
